"beer_id","brewery","beer name","alcohol","type"
"33624","Hoppin' Frog Brewery","Hoppin' To Heaven IPA",6.8,TRUE
"4373","Harmon Restaurant & Brewery","Point Defiance IPA",6.1,TRUE
"5441","Founders Brewing Company","Founders Centennial IPA",7.2,TRUE
"505","Cambridge Brewing Company","Big Man Ale",6.8,TRUE
"20478","Founders Brewing Company","Founders Harvest Ale",6.5,TRUE
"37477","Sierra Nevada Brewing Co.","Sierra Nevada Anniversary Ale (2007-2009)",5.9,TRUE
"5487","Terminal Gravity Brewing Company","Terminal Gravity IPA",6.9,TRUE
"42533","Sierra Nevada Brewing Co.","Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale",6.7,TRUE
"52371","Sierra Nevada Brewing Co.","Sierra Nevada Estate Brewers Harvest Ale",6.7,TRUE
"1904","Sierra Nevada Brewing Co.","Sierra Nevada Celebration Ale",6.8,TRUE
"30420","Sierra Nevada Brewing Co.","Sierra Nevada Torpedo Extra IPA",7.2,TRUE
"6549","Sierra Nevada Brewing Co.","Northern Hemisphere Harvest Wet Hop Ale",6.7,TRUE
"62328","Sierra Nevada Brewing Co.","Estate Homegrown Wet Hop Ale",6.7,TRUE
"44749","Sierra Nevada Brewing Co.","Sierra Nevada Chico Estate Harvest Wet Hop Ale (2008)",6.7,TRUE
"12896","Four Peaks Brewing Company","Hop Knot",6.7,TRUE
"33243","Port Brewing Company / Pizza Port","Wipeout I.P.A.",7,TRUE
"1493","SweetWater Brewing Company","Sweetwater IPA",6.3,TRUE
"33467","Port Brewing Company / Pizza Port","High Tide Fresh Hop IPA",6.5,TRUE
"46363","Cigar City Brewing","Jai Alai IPA",7.5,TRUE
"50081","Cigar City Brewing","Jai Alai IPA - Cedar Aged (Humidor Series)",7.5,TRUE
"52390","Port Brewing Company / Pizza Port","Pseudo IPA",6.6,TRUE
"59173","Cigar City Brewing","Jai Alai IPA - White Oak",7.5,TRUE
"55417","Cigar City Brewing","Jai Alai IPA - Peach",7.5,TRUE
"9088","Southern Tier Brewing Company","IPA (India Pale Ale)",7.3,TRUE
"2751","Bear Republic Brewing Co.","Racer 5 India Pale Ale",7,TRUE
"3916","AleSmith Brewing Company","AleSmith IPA",7.25,TRUE
"22505","Green Flash Brewing Co.","Green Flash West Coast I.P.A.",7.3,TRUE
"5133","Arbor Brewing Company","Arbor Brewing Sacred Cow IPA",6.8,TRUE
"11922","Great Divide Brewing Company","Titan IPA",7.1,TRUE
"55081","New Belgium Brewing","Ranger",6.5,TRUE
"60832","Great Divide Brewing Company","Rumble IPA",7.1,TRUE
"8312","Southampton Publick House","Southampton IPA",6.5,TRUE
"16376","Brasserie Dieu Du Ciel","Corne Du Diable",6.5,TRUE
"205","Flying Dog Brewery","Snake Dog IPA",7.1,TRUE
"57252","Boston Beer Company (Samuel Adams)","Samuel Adams Latitude 48 IPA",6,TRUE
"35608","Kern River Brewing Company","Just Outstanding IPA",6.8,TRUE
"6368","Minneapolis Town Hall Brewery","Masala Mama India Pale Ale",5.9,TRUE
"38799","Minneapolis Town Hall Brewery","Mango Mama",6,TRUE
"16779","The Tap Brewing Company","Leatherlips IPA",5,TRUE
"43101","Tröegs Brewing Company","Scratch Beer 12 - 2008",6.5,TRUE
"62416","Tröegs Brewing Company","Scratch Beer 35 - 2010 (Fresh Hop Ale)",7.2,TRUE
"1472","Speakeasy Ales & Lagers","Big Daddy IPA",6.5,TRUE
"1956","New Glarus Brewing Company","Hop Hearty Ale",6.1,TRUE
"1483","Weyerbacher Brewing Co.","Hops Infusion",6.2,TRUE
"361","Rogue Ales","Brutal Bitter Ale",5.8,TRUE
"43969","Rogue Ales","Yellow Snow IPA",6.2,TRUE
"38180","Firestone Walker Brewing Co.","Union Jack India Pale Ale",7.5,TRUE
"709","Ballast Point Brewing Company","Big Eye IPA",7,TRUE
"23407","Willimantic Brewing Co.","Willimantic Pushing The Envelope IPA",6.5,TRUE
"20389","Thomas Hooker Brewing Company","Thomas Hooker Hop Meadow IPA",6.5,TRUE
"29619","Ballast Point Brewing Company","Sculpin India Pale Ale",7,TRUE
"311","Harpoon Brewery","Harpoon IPA",5.9,TRUE
"2729","Avery Brewing Company","India Pale Ale (IPA)",6.5,TRUE
"20335","OPA-OPA Steakhouse & Brewery","Opa Opa IPA",6,TRUE
"42007","Mayflower Brewing Company","Mayflower IPA",7,TRUE
"32286","Alpine Beer Company","Nelson",7.1,TRUE
"27604","Alpine Beer Company","Duet IPA",7,TRUE
"40502","Alpine Beer Company","O'Brien's IPA",6.2,TRUE
"41872","Laurelwood Public House & Brewery","Workhorse IPA",7.5,TRUE
"6076","Ithaca Beer Company","Flower Power India Pale Ale",7.5,TRUE
"60670","Ithaca Beer Company","Super Friends IPA",6,TRUE
"60044","Ninkasi Brewing Company","Maiden The Shade",6.8,TRUE
"60750","Boneyard Beer Company","RPM IPA",7.5,TRUE
"12322","Boulder Beer / Wilderness Pub","Mojo IPA",7.2,TRUE
"3977","Pelican Pub & Brewery","India Pelican Ale",7.5,TRUE
"48243","Ska Brewing Co.","Modus Hoperandi",6.8,TRUE
"5385","Dark Horse Brewing Company","Dark Horse Crooked Tree IPA",6,TRUE
"22189","Sixpoint Brewery","Bengali Tiger",6.4,TRUE
"56889","Two Brothers Brewing Company","Resistance IPA",6.9,TRUE
"33215","Columbus Brewing Company","Columbus IPA",6.5,TRUE
"1670","Lost Coast Brewery and Cafe","Indica India Pale Ale",6.5,TRUE
"829","Mad River Brewing Company","Jamaica Sunset India Pale Ale",7,TRUE
"49058","Central City Brewing","Red Racer IPA",6.5,TRUE
"28203","Surly Brewing Company","Furious",6.2,TRUE
"53267","Surly Brewing Company","Wet",7.5,TRUE
"35626","Odell Brewing Company","Odell IPA",7,TRUE
"7200","Full Sail Brewery & Tasting Room & Pub","Wreck The Halls",6.5,TRUE
"37340","Full Sail Brewery & Tasting Room & Pub","Sun Of Spot (Brewmaster Reserve 2007)",6,TRUE
"28793","Mikkeller ApS","Simcoe Single Hop IPA",6.9,TRUE
