"user","beer_id"
"aerozeppl",6368
"aerozeppl",17443
"aerozeppl",22790
"aerozeppl",22790
"aerozeppl",29619
"aerozeppl",30420
"aerozeppl",34436
"aerozeppl",46363
"alexgash",611
"alexgash",1005
"alexgash",6368
"alexgash",6549
"alexgash",16403
"alexgash",22790
"alexgash",29619
"alexgash",43385
"alexgash",53267
"allergictomacros",12322
"allergictomacros",40999
"allergictomacros",43969
"alleykatking",1093
"alleykatking",6368
"alleykatking",22790
"Arbitrator",916
"Arbitrator",6549
"Arbitrator",22790
"Arbitrator",28203
"Arbitrator",40502
"Arbitrator",41872
"Arbitrator",48243
"argock",20389
"argock",31763
"argock",38180
"ArrogantB",1904
"ArrogantB",2751
"ArrogantB",27604
"ArrogantB",29619
"ArrogantB",30420
"ArrogantB",35626
"ArrogantB",38180
"atsprings",1093
"atsprings",2904
"atsprings",3916
"atsprings",6549
"atsprings",16403
"atsprings",29619
"atsprings",29619
"atsprings",30420
"atsprings",42533
"avalon07",29619
"avalon07",46363
"barleywinefiend",38180
"barleywinefiend",60750
"barleywinefiend",60750
"bditty187",1904
"bditty187",5554
"bditty187",6368
"bditty187",6368
"bditty187",12322
"bditty187",28203
"Beerandraiderfan",6549
"Beerandraiderfan",22790
"Beerandraiderfan",33243
"Beerandraiderfan",52390
"Beerandraiderfan",56889
"BEERchitect",3916
"BEERchitect",4571
"BEERchitect",6108
"BEERchitect",20969
"BEERchitect",28203
"BeerSox",611
"BeerSox",1093
"BeerSox",20781
"BeerSox",44749
"biegaman",709
"biegaman",1093
"biegaman",12896
"biegaman",22189
"biegaman",29619
"biegaman",39705
"Bierman9",16403
"Bierman9",16779
"Bighuge",361
"Bighuge",1093
"Bighuge",1904
"Bighuge",3916
"Bighuge",4571
"Bighuge",4902
"Bighuge",5441
"Bighuge",6368
"Bighuge",28203
"Bighuge",35626
"billab914",1093
"billab914",53267
"Bitterbill",1093
"Bitterbill",5487
"Bitterbill",20478
"Bitterbill",28203
